,timestamp,webUrl,headline,sectionId,sectionName,site,bodyContent,authorUrl,authorFirstName,authorLastName
0,2015-01-01T00:01:05Z,https://www.theguardian.com/music/2015/jan/01/uk-top-10-albums-2014-british-artists,UK top 10 albums of 2014 are all by British artists for first time,music,Music,The Guardian,"British artists have filled the entire top 10 bestselling albums chart for 2014 in the UK for the first time. Figures compiled by BPI, the trade body representing the British music industry, show that British artists have dominated album sales in the past 12 months, with the chart topped by Ed Sheeran whose second album X sold 1.7m copies – the highest album sales since Adele’s 21 in 2011. Sheeran was closely followed by the multi-award-winning debut from Sam Smith, In the Lonely Hour, which shifted 1.25m copies, while other big sellers of 2014 included George Ezra’s first album in third, Paolo Nutini, Coldplay and One Direction. Pink Floyd’s Endless River, the band’s first studio album in 20 years, also made it into the top 10. The only female artist to make it into the chart was the pop-soul singer Paloma Faith, with her album A Perfect Contradiction. This is the 10th year in a row that a British artist has topped the annual UK album bestsellers chart, following on from One Direction in 2013. Commenting on the notably strong year for British music, Geoff Taylor, chief executive of the BPI and Brit awards, described the success as remarkable and said the business was postitioned to expand further this year. “Our record labels are backing home-grown talent like Ed Sheeran, Sam Smith and George Ezra, who in turn are catching fire around the world.” But the success of individual artists was not enough to compensate for the continued decline in album sales overall, further confirming the predictions of industry pundits and even the head of music at Radio One, George Ergatoudis, that the format is heading towards extinction. There were 29.7m albums downloaded in 2014, down 9% on the year before, while 52.7m CDs were bought – a drop of almost 7%. The changing shape of the music industry was also underlined by the growing importance of streaming. The figures disclosed that the number of tracks streamed in Britain doubled in 2014, up from 7.5bn in 2013 to 14.8bn in 2014. Revenue from streaming in Britain this year was up 65% to £175m – overtaking revenue from single sales and downloads for the first time. This year was the first time that streams were included alongside downloads and physical sales in the Official Top 40 charts. One Direction were among the musicians who achieved 1bn streams on Spotify upon the release of their album Four in November, joining the ranks of fellow Brits Sheeran, Calvin Harris and Coldplay, while Mark Ronson’s track Uptown Funk broke the record for the most streamed track in a single week, with 2.5m plays in the final week of December. The shift in the way people are now consuming music could prove an interesting dilemma for artists such as Taylor Swift, who this year took her entire music back catalogue from the leading streaming service Spotify in protest that artists are only paid between around $0.006 and $0.0084 per song play. The increase in revenue from streaming was so great this year it almost completely offset the decline in album and single sales, ensuring that this year the total retail value of albums, singles and streams dropped by only 1.6% to £1.03bn. The streaming market is set to become more competitive this year with Apple launching its iTunes Beats streaming service and Google’s YouTube Music Key also set to launch, to compete with the likes of Spotify and Pandora. Official artist albums chart 2014 1. Ed Sheeran, X 2. Sam Smith, In the Lonely Hour 3. George Ezra, Wanted on Voyage 4. Paolo Nutini, Caustic Love 5. Coldplay, Ghost Stories 6. Paloma Faith, A Perfect Contradiction 7. One Direction, Four 8. Olly Murs, Never Been Better 9. Pink Floyd, The Endless River 10. Take That, III Official charts most streamed artists 2014 1. Ed Sheeran 2. Sam Smith 3. Arctic Monkeys 4. Eminem 5. Calvin Harris 6. Coldplay 7. One Direction 8. Beyoncé 9. Katy Perry 10. Bastille",profile/hannah-ellis-petersen,Hannah,Ellis-Petersen
1,2015-01-01T00:05:05Z,https://www.theguardian.com/money/2015/jan/01/childcare-costs-nearly-half-average-salary-labour-analysis,Childcare costs nearly half the average salary – Labour analysis,money,Money,The Guardian,"Childcare costs have reached almost half of the average salary in some areas of the country, an analysis by the Labour party has found. Data collected from local councils found steep increases in the average costs of a 25-hour per week nursery place, with particularly high charges in London and the south-east. The highest figures quoted were in Bexley, south London, at £195 a week, and the highly marginal seat of Thurrock, Essex, at £185 a week. Childminder costs have also soared, with rates increasing particularly steeply in London – by more than £35 a week since 2010 in Croydon and Harrow. The highest weekly costs for childminders outside the City of London were said to be £200 a week in Barnet and £172.50 in Bexley. Overall, the cost of part-time childcare is now at least £100 a week in more than three-quarters of local authorities, Labour found through freedom of information requests. The party said this meant that in the vast majority of local areas, families were spending a quarter or more of their average weekly earnings on childcare. Alison McGovern, shadow minister for childcare, said the higher costs came at a time of fewer places and reduced government support. “Labour gets that increased help with childcare is good for families and good for the economy,” she said. “We would extend free childcare for three- and four-year-olds with parents in work from 15 to 25 hours, worth £1,500 per child, per year. We would also introduce a legal guarantee of childcare from 8am to 6pm, for parents of primary-aged children, helping families to balance work and family life.” The Labour leader, Ed Miliband, is intending to go into the election arguing that his party will best help families deal with the rising cost of living. Childcare is likely to be a big battleground issue, as the coalition parties have pushed through legislation to provide a discount of up to £2,000 per year per child, while Labour has pledged to extend the amount of free childcare for younger children. This week, a survey by the insurer Aviva found thousands of parents are in effect working for zero pay because of the high cost of childcare. This biannual report into family finances found that one in 10 working families with young children has an earner who brings home nothing after commuting, childcare and other work-associated expenses. The study also shows that one in four families include one parent who brings home less than £100 a month after costs, while 4% of women surveyed said they were actually paying to work because their costs were greater than their income . A separate report by employment consultancy The Jobs Economist highlighted the squeeze on some family incomes. It said the overall outlook for Britain’s jobs market in 2015 was the rosiest since 2007, but inequality in pay would increase as many people remained desperate for work.",profile/rowena-mason,Rowena,Mason
2,2015-01-01T00:05:05Z,https://www.theguardian.com/politics/2015/jan/01/david-cameron-ed-miliband-new-year-messages,David Cameron and Ed Miliband turn gaze towards 7 May,politics,Politics,The Guardian,"David Cameron and Ed Miliband have issued new year messages as they prepare for a flurry of general election campaigning in the first few days of 2015. With just over four months until voters go to the polls on 7 May, the leaders of the two main parties are expected to start spending much more time talking to voters around the country instead of working from Westminster. On Friday the prime minister is planning to launch his first campaign event of the year, and on Sunday he is expected to be interviewed on the BBC’s Andrew Marr Show. The Labour leader, meanwhile, is likely to start the year with a major speech early next week. Both parties have established what they call their narratives for the election. The Conservatives intend to focus on their economic record, while Labour will promise to address the cost of living and reduce inequality. With the polls continuing to show a lead for Miliband, the Conservatives are expected to start bombarding the public with their political messages over the coming weeks. The prime minister’s new year message continued the Tories’ familiar refrain of urging people “to stick to the plan, stay on course to prosperity, and keep doing the important, long-term work of securing a better future”. Cameron claimed there was good news on employment, lower taxes and a higher state pension, but warned that the global economy remained uncertain. “Britain has a choice,” he said, “between the competence that has got us this far, or the chaos of giving it up, going backwards and taking huge risks.”   David Cameron’s new year message  In an article for the Daily Telegraph today, he writes that the Conservatives are not just improving the economy, but “changing British values” in favour of hard work. Miliband’s message had a strongly positive tone, reflecting his intention to present his party as one of hope and change over the next few months. “This is the season for new beginnings and hopes for the future,” he said. “And Britain is ready for a new beginning. Because I don’t have to tell you that all over our country today there are people working harder and harder, but standing still; families struggling with bills that are growing faster than their wages; young people taking on mountains of debt to get a proper education, only to find themselves with no job at the other end; and an NHS where people are waiting longer and longer to get the care they need. “It doesn’t have to be this way. As this new year dawns, we have the chance to change direction; a chance to build a recovery for all of Britain … This year, we have the power to bring about the change working families all over Britain need. This isn’t about idle dreams or empty promises. It’s about a real, concrete plan: a plan for a recovery which reaches your kitchen table.” Jim Murphy, the new Labour leader in Scotland, and his deputy, Kezia Dugdale, also released a new year message. However, their outtakes video, which shows their human side as they mess around, giggle and forget their lines, attracted more attention.   Jim Murphy and Kezia Dugdale’s outtakes video ",profile/rowena-mason,Rowena,Mason
3,2015-01-01T00:08:15Z,https://www.theguardian.com/football/2015/jan/01/football-transfer-rumours-mario-suarez-to-arsenal,Football transfer rumours: Mario Suárez to Arsenal?,football,Football,The Guardian,"Fizzle, crackle, crackle, fizzle, crackle, crackle … Whizz! Bang! There’s only one way to celebrate Happy New Transfer Window Day* reader … and that’s by strapping a Jim White effigy to a rocket and sending him hurtling deep into January 2015. Boom! The Rumour Mill’s had a few you see. But, don’t mess with fireworks kids. Or booze. Or Jim White. It won’t end well.  Speaking of things not ending well, Arsenal are in for Suárez again. Only this time it is Atlético Madrid’s Mario Suárez. A defensive midfielder. Yes, really. And the money on the table is not going to be £40m+£1. No, he’ll be much, much cheaper. Because he’s just OK. He’ll do a job. That’s it.  Arsène Wenger will have space in his squad for an average player if Lukas Podolski manages to jump the moat full of crocodiles surrounding the Emirates and shuffle off to Internazionale.  Oh, and it says here that Yaya Sanogo is going to Aston Villa. How’s that hangover feel now Villa fans? Ouch. Harry Redknapp is sniffing around for a striker. Harry Redknapp has been sniffing around for a striker since 1983. The QPR manager is not sniffing around for Peter Crouch though. No, the man doing that is Tony Pulis. Who else? Expect a couple of million quid to cover the costs of transporting Target Man down the M6 from Stoke to West Brom.  Brendan Rodgers has ruled out making any more signings in January. Well, Roma’s Radja Nainggolan and Bayern Munich’s Xerdan Shaqiri have made the decision for him after telling Liverpool to do one. And no, Divock Origi doesn’t count. They already own him.  Meanwhile, Mario Balotelli is off to Napoli if you believe some words written in an Italian newspaper. And MLS suits have got all hot and bothered after Rodgers said he wouldn’t stand in the way of Steven Gerrard if he wanted to say ta-ra to Anfield. The suit that is most hot and bothered is the New York Red Bulls one. That suit’s got a Thierry Henry-shaped hole to fill and Gerrard is just about the size and weight to fill it.    Related: Manchester United consider Aston Villa’s Ron Vlaar for potential transfer   Little light on rumours this morning eh? Hmmm. It’s not like much is happening. Bang!  What was that you ask? That was the sound of Thorgan Hazard being shot out of an airbomb to Borussia Mönchengladbach from Chelsea in a deal worth £6.3m. Yes, £6.3m. Despite never having done a tap for Chelsea. That’s branding for you. Happy New Year. *OK, so it actually opens on 3 January but let’s not split hairs. It’s a new year. ",profile/gregg-bakowski,Gregg,Bakowski
4,2015-01-01T00:35:43Z,https://www.theguardian.com/football/2015/jan/01/kenny-lowe-the-man-leading-perth-glory-to-the-top-of-the-table,Kenny Lowe: the man leading Perth Glory to the top of the table,football,Football,The Guardian,"Kenny Lowe jokes that when he leaves Perth Glory, it’ll be the first club to ever give him the sack. It certainly won’t be under the same circumstances as his predecessor, Alistair Edwards, who was shown the door last season amid claims of favouritism involving the selection of his two sons. No, Lowe’s son, Rory, has found his calling away from football: stand-up comedy. “I’ve only watched him once or twice,” says Lowe senior, a tad awkwardly. “I’ll leave him to it. It’s probably good that me and the mum don’t go. We’d probably get hammered by him.” Lowe senior was around the same age as his son is now when he first came to Perth. The young midfielder from County Durham only stayed one full season, but it was the best year of his life. The America’s Cup was on, he was making lifelong friends, and trophies were piling up for him and for his state league side. The city has had a profound impact on Kenny Lowe. As an oil and gas engineer in his late thirties, he returned there with his family, and they found it impossible to leave. Twelve years later, he’s added two more to the clan - “our two little Aussies,” he calls them - and, almost from nowhere, he has become the hottest coach in the A-League. At least for now. The following week could be a defining one for the Westralians’ season. With back-to-back games against their biggest premiership rivals, Perth Glory could go into the Asian Cup break a good 10 points clear of the pack. Equally, they might spend January slumming it in third. The league leaders are at long odds for a win at Melbourne Victory on Friday night. It seems extraordinary, until you look at Victory’s home form. They’ve been almost unbeatable there under Kevin Muscat’s watch. It hasn’t happened since January, and their worst home result this season has been a solitary draw (though they did lose at Melbourne City). In Adelaide United, Glory will face the only side able to beat them so far this campaign. It’s something the Reds have managed twice: first in round three, and then again in the final of the inaugural FFA Cup. Yet Lowe sounds almost thankful for those results. “You have hardship. You have defeat. You have failure. That’s probably the best time in the world to learn about yourself and get better,” he tells The Guardian. “Because there’s things in that experience that you can actually analyse and understand to help make yourself become even better.” What he learnt from those games is that Glory needs to be better with the ball, and control the tempo of the game more effectively. “It’s not rocket science. I don’t want my goal-keeper having more touches than my creative central midfield player. We do need a balance.” He has another explanation for Adelaide too. “Yeah, they’ve got good players,” he laughs. “It’s not hard, is it. And they play a way that suits their good players.” Against the rest of the competition though, Perth have been so dominant they have spent barely 70 minutes - or 7% of the season - in arrears. So what’s been the secret to success so far this season? Lowe speaks in one breath about a blue collar work rate and the good character of his team, and then in the next about the importance of quality players. There’s Andy Keogh, for example, the new recruit whose form in front of goal is making it difficult for Ireland’s national selectors to ignore him. Lowe is a firm believer in the old maxim about great players making great coaches. “Why’s Mourinho good?,” he asks. “He’s good because he’s good, but it does help he’s got some of the best players in the world. Get him to Hartlepool on a wet night in the middle of winter in England and see how good he is then.” Lowe might have a minor obsession with the Portuguese. His name is scattered throughout the interview and a cursory glance of his Twitter account brings up more than the one tweet about his Chelsea counterpart. Might it explain why he likes to compare Glory with Atletico Madrid, Mourinho’s former crosstown rivals? All that said, as Perth’s youth coach, he was responsible for developing the likes of Fulham’s Adam Taggart, Holland-based pair Trent Sainsbury and Eli Babalj, and Roma-bound boy wonder Danny De Silva. “It gives you a real buzz to see those players doing really, really well.” Character and quality are both good, but Perth’s current success has arguably been shaped something more specific: set pieces. Exactly half of their goals have come from dead balls. No team has scored more goals this way. By comparison, Victory have scored barely one in three this way, Adelaide one in 5.  At the other end of the park, they’ve conceded just a quarter of their goals this way; Victory and Reds, the stingiest defences in the competition, have proved the league’s most vulnerable at set pieces. In other words, the longer Perth’s opponents this week can keep the ball the motion, the better chance they stand. For all the dangers Muscat and Gombau’s sides pose though, it’s a potential salary cap breach that could prove most damaging to Glory’s season. On that topic, the Perth coach is giving nothing away. “I won’t even speak about it,” he stonewalls. It’s one of the big unknowns in a season where nearly everything else has gone right, and could stop this season from being as fruitful for Lowe as his first in Perth was.",profile/jack-kerr,kerr,jack
5,2015-01-01T01:13:56Z,https://www.theguardian.com/world/2015/jan/01/new-year-world-revelry-tragedy-fireworks-shanghai-london,Arrival of new year marked with revelry and marred by tragedy,world,World news,The Guardian,"Millions of people around the world lined waterfronts and filled city squares last night to welcome in 2015 with spectacular firework displays as well as traditional events – but celebrations in Shanghai were marred by tragedy, as dozens of revellers were killed and injured in a stampede. According to Chinese state media, at least 35 people were killed and 42 injured in the crush, which happened in the city’s Bund riverfront area at about 11.30pm local time. Emergency services soon arrived to aid the wounded in Chen Yi Square, an area that often becomes crowded during major events. It was not immediately clear what triggered the stampede. The official Xinhua news agency said many of the injured were students. Photographs on Weibo, the Chinese version of Twitter, showed densely packed crowds of revellers along the Bund, which lies on the bank of the Huangpu river. In some photographs, rescue workers were seen trying to resuscitate victims on the pavement while ambulances waited nearby. Authorities had shown concern about crowd control in the days leading up to New Year’s Eve. They recently cancelled an annual 3D laser show on the Bund which attracted 300,000 people last year. New Zealand, the first country to celebrate the new year, celebrated with fireworks launched from Auckland’s Sky Tower, while in Australia an estimated 1.5 million spectators lined the harbour to watch the now renowned firework display on Sydney Harbour Bridge. The event, broadcast to an estimated billion people, featured a tribute to the two hostages killed in the December siege inside a cafe before seven tonnes of fireworks, including 10,000 aerial explosives and 100,000 pyrotechnics, went up in smoke. In Indonesia, celebrations were muted because of the recent loss of AirAsia Flight 8501. In Japan, people filled temples and shrines to pray for peace as bells struck 108 times to mark the number of temptations in Buddhism. Dubai saw hundreds of thousands of revellers watch fireworks launch from the Burj Khalifa, the world’s tallest building, which was wrapped with 70,000 panels to create the biggest ever illuminated LED facade. Meanwhile, a light show and fireworks marked the beginning of 2015 at the Olympic park in Beijing. Moscow was one of the first cities in Europe to mark the new year, with fireworks detonating over St Basil’s Cathedral and the Kremlin. In London, 100,000 people gathered on the banks of the Thames to watch an 11-minute firework display involving 12,000 pyrotechnics. This year’s event was ticketed for the first time, with revellers paying £10 each to access the fenced-off viewing area, after around half a million tried to squeeze into the area around the South Bank last year. “If you don’t have a ticket, the best place to watch the #londonnye fireworks will be live on the BBC,” the office of the London mayor, Boris Johnson, said on Twitter after telling the public that last year’s crowded conditions meant that a free event was “untenable”. However, he came under fire from opposition politicians over the ticketing and for the erection of mobile signs hammering home the message that the fireworks were being shown on the BBC. Fiona Twycross, a member of the London Assembly, described the signs as an insult to Londoners and visitors to the city and accused the mayor of privatising New Year by bringing in the ticketing system. Those who bought tickets, however, described the atmosphere as “electric”. In Scotland, Hogmanay celebrations on Stirling Castle’s esplanade were cancelled due to high winds. A live outdoor concert had been due to take place on the esplanade, with music from The Waterboys, Skerryvore, JJ Gilmour and Model Aeroplanes, followed by a fireworks display. However, the event was cancelled as high winds meant public safety could not be guaranteed, police said. Chief Inspector Paul Rollo, Stirling policing commander, said: “Hogmanay is one of the highlights of the year in the city, and the joint decision to cancel the street party was only taken after lengthy discussion and deliberation with the organisers. “We prioritise the safety of people attending an event and with the poor weather conditions right now with winds far stronger than expected, unfortunately this could not be assured.” Up to 75,000 people were expected to gather for the world-famous event in Edinburgh, which saw Lily Allen headlining the Concert in the Gardens. There were five live stages throughout the city, with 13 acts performing, including Soul II Soul and Twin Atlantic, plus four firework displays. Early celebrations included a torchlight parade when a cast of thousands carried flaming torches through the historic Old Town. Organisers said tickets for events have been bought by those in more than 70 countries, including Australia, Brazil, Mauritius, Slovakia and South Africa. Wilson Peery, 33, from Oregon, USA, travelled to Scotland especially to attend Edinburgh’s street party. He said: “I came here in 2008 and made a split second decision to come back this year with a group of friends. We all just decided to come. “I just really like the energy and the fact that there are so many things to do. The torchlight procession is something special.” As the new year reached Rio De Janeiro, millions flocked to Copacabana beach, where fireworks were launched from boats and artists and DJs performed on three stages for a traditional all beach party where many revellers wear white. In Havana, people roasted pigs for their traditional New Year’s Eve family dinners, often using a pit dug in the backyard. And in New York, thousands gathered in Times Square to see in 2015 and watch the traditional dropping of a giant crystal ball at midnight. Extra police were drafted in in case of possible further protests following the deaths of two unarmed black men at the hands of police officers in the city and in Ferguson, Missouri.",,,
6,2015-01-01T02:29:22Z,https://www.theguardian.com/australia-news/2015/jan/01/queensland-bikie-laws-success-claims-are-propaganda-former-outcast-says,"Queensland bikie laws: success claims are 'propaganda', former Outcast says",australia-news,Australia news,The Guardian,"A prominent Queensland bikie has labelled as “propaganda” claims that the Newman government’s draconian laws triggered the implosion of his former motorcycle club. At the end of an annus horribilis for bikies in the state, the demise of the Outcasts was held up as an example of a gang hounded out of existence by a regime that bans public bikie gatherings, clubhouses and recruiting. A Courier-Mail report credited the laws with forcing the departure of more than 20 members of the Outcasts, among a total of 317 bikies who quit clubs since the crackdown began in October 2013. This left only the self-proclaimed Queensland president of the Outcasts, likened by senior police to Monty Python’s Black Knight character, who famously dismissed his loss of limbs as “a flesh wound”. Former Outcast Russell “Camel” Wattie, a one-time federal Senate candidate, said the problem with this narrative was that the club had formally dissolved in Queensland more than a year before the laws were introduced. “The only thing I can call it is propaganda,” he said. “They’re using an internal thing in a club that happened 14 months beforehand as proof that the laws are working. It clearly had absolutely nothing to do with that.” Wattie said the national chapter of the club, based in Sydney, had taken back the Queenslanders’ colours in 2011 and the “Black Knight” was cut adrift. On the timing of the club’s split, the police agreed. They told Guardian Australia their records indicated the Outcasts had disbanded in Queensland in 2011, despite the remaining presence of its single member. But it said the Outcasts were considered a criminal gang in New South Wales and Victoria, so had been declared a criminal organisation in Queensland too. It said Outcasts members had been involved in drugs and violence offences and “demonstrated a willingness to obstruct, intimidate and assault police”. The new legislation had affected membership of bikie gangs in Queensland, the police said, “with members taking the opportunity to cut ties with the declared criminal organisations”. Public support has waxed and waned for a crackdown that has led to more than 4,000 charges against bikies and their associates, and police have vowed to press ahead with plans to wipe out the subculture in Queensland. In recent decades bikies in the state have handed hundreds of years’ worth of jail sentences for serious crimes including murder, drug trafficking and extortion. However, many bikies who do not have criminal records face a loss of livelihood as a result of bans from industries including the long-associated tattoo business. Criminologists have also challenged government claims that bikie gangs control the highly fragmented illicit drugs market. Wattie said bikies had resorted to gathering privately in homes and the subculture – which in his experience was not synonymous with organised crime – would survive underground. “So long as two blokes can ride together, they will,” he said.",profile/joshua-robertson,Joshua ,Robertson
7,2015-01-01T03:04:17Z,https://www.theguardian.com/society/2015/jan/01/fgm-doctors-should-question-at-risk-women-during-prenatal-consultations,FGM: doctors should question at-risk women during prenatal consultations,society,Society,The Guardian,"Doctors have endorsed a call for questions about female genital mutilation (FGM) to be a requirement when they see women from affected communities for prenatal appointments. Khadija Gbla, a director of No FGM Australia, is due to give birth to her first child in February and struggled to find satisfactory medical care after disclosing she had FGM. She has now been classified as a “high risk” pregnancy and has a midwife to help her with her birth plan. Gbla, 26, who was born in Sierra Leone, was astounded she was not asked in her first Adelaide consultation if she had FGM, among standard questions on her family history of diseases such as heart disease and diabetes. “FGM made it quite difficult, it does have an impact on pregnancy and it’s been very negative from the get go,” she said. “In Adelaide there’s not a lot of knowledge in FGM so I have a lot of anxiety about it. I’m very stressed out. But I’m one of the lucky ones, what about the women who have it and don’t say anything? What about the women who don’t even know they have it? They need to be taken care of.” Gbla said women from FGM-affected communities, such as west African countries, Pakistan, Iraq, Egypt and Indonesia, should be asked if they had FGM when they first went to a doctor or midwife. Obstetrician Greg Jenkins, who conducts a weekly high-risk antenatal clinic at Auburn hospital in western Sydney, has treated many pregnant women with FGM and said it was certainly something doctors needed to know about. “We would take the view that those who are raised in communities where FGM is practiced, when they book into maternity unit they should be asked if they have a personal history of FGM,” he said. “It’s something we see reasonably often so we have a specific service to cater for it.” Jenkins said discussions about FGM should happen well before an expectant mother reached the delivery room, and doctors should be more aware of the risks it posed. “It definitely should happen ... overall increasing awareness is an important thing and then equipping people with information that they need in treating them is important,” he said. Jenkins said the risks associated with FGM could be greatly reduced with the right treatment before the delivery. His fellow obstetrician and former Australian Medical Association president Dr Andrew Pesce agreed that doctors needed targeted education campaigns.  “FGM was not on anyone’s radar of my generation when I was trained unless they were trained in an area of those communities, it was not something that they would ever give a thought to,” he said. “We need to have systems in place which alert midwives and doctors of these issues.” Pesce said the lack of data on how many women with FGM lived in Australia and how many girls were at risk of FGM was a big problem for doctors, who needed a system to obtain better data.  “Clinicians in all walks need to have some demographic data occasionally presented to them which makes them think about issues facing their community,” he said. “FGM comes up in hospitals when women are in labour and all of a sudden the doctor finds out when it’s too late to talk about. No clinic wants to be in that situation.” ",profile/bridie-jabour,Bridie,Jabour
8,2015-01-01T05:30:01Z,https://www.theguardian.com/environment/2015/jan/01/country-diary-in-the-bleak-midwinter,In the bleak midwinter,environment,Environment,The Guardian,"This was a day to raise the coat collar, hunch the shoulders and keep on the move, because the bare hedgerow offered little shelter from a bone-aching north-westerly wind. Fieldfares had stripped the last of the hawthorn berries long before Christmas. Now, apart from a solitary crow that flew away as I approached, the landscape seemed lifeless and bleak. But then there was a sudden flurry of activity amongst the tangle of branches and briars beside the footpath, and soon I was surrounded by a flock of long-tailed tits. I can think of few birds so certain to lift the spirits in midwinter. They bounded along the hedge beside me in a restless flock, hyperactive acrobats, each pausing for just a second or two to search for food morsels. It is a wonder that such waif-like birds, seemingly just ragged bundles of grey, black and pink feathers, survive winter at all. Even if I spent an hour scrutinising twigs with a magnifying glass, I doubt that I would be able to find more than a few insect eggs and perhaps a spider or two. Their survival seems to depend on constant movement, spending each second of the daylight hours in a relentless search of every nook and cranny. They flew on ahead of me but I caught up with them again on the edge of a wood, where they were foraging in the low branches of a sycamore. Part of the charm of these birds is that they are so fearless when they are intent on feeding. There were moments when I could have reached out and touched them. I could hear the scratch of beaks and claws on tree bark and the rustle of wing feathers. Sometimes they dangled below branches like trapeze artists, perhaps searching for aphid eggs on buds, using their long tails as counterbalances. Then they were winkling something out from crevices between twigs, buffeted by wind that blew their tail plumes awry; antics that put a smile on my face. Phil Gates @seymourdaily Follow Country Diary @gdncountrydiary",profile/philgates,Phil ,Gates
9,2015-01-01T05:51:39Z,https://www.theguardian.com/sport/2015/jan/01/online-bookies-banned-from-putting-restrictions-on-winning-punters-in-nsw,Online bookies banned from putting restrictions on winning punters in NSW,sport,Sport,The Guardian,"Online bookies will be banned from screening out successful punters in New South Wales after the state government backed new racing industry guidelines obliging bookmakers to accept any bets that pay out $1,000 or less. The minimum bet limit will be even higher for larger bookies, who will have to take any wager on a metropolitan race that pays out up to $2,000. Racing NSW implemented the new guidelines in September after receiving hundreds of complaints from punters claiming their online betting accounts were frozen or restricted after a string of successful bets. But the state gaming minister, Troy Grant, said some online bookies had “refused to express unqualified support for the new minimum bet rules”. It is understood that Racing NSW has continued to receive reports of internet bookmakers flouting the guidelines. “It is not fair to have wagering operators profit from punter losses but then bar or restrict successful punters in the amount they can wager on any one bet,” Grant said. “This is the same rule that applies to on-course bookies and maintains the integrity of thoroughbred racing.” Richard Irvine, from the punters’ lobby group Fair Wagering, claims companies such as Luxbet, Centrebet and Bet365 – all of which are based in the Northern Territory for tax reasons – actively discriminate against successful amateurs and professional gamblers. Five NT-based bookies have severely restricted or closed his accounts citing commercial reasons. He welcomed the decision by the NSW government, the first in the country to apply minimum bet laws to online bookies.  “Hopefully it will be adopted Australia-wide over the next year,” he said. “Government support is a huge advantage and also gives the cause the credibility it deserves.” Another online bookmaker, Sportsbet, successfully defended its right to reject bets in the Victorian civil and administrative tribunal in December 2013, after restricting the account of a Melbourne man who won $22,500 in just over a month betting on horse races. NT-based bookmakers oversaw $8.5bn in bets last financial year and the Australian industry has attracted heavy investment from foreign betting giants such as William Hill, which bought up Tom Waterhouse, SportingBet and Centrebet in 2013. ",profile/michael-safi,Michael ,Safi
